DAVIESS,KY,52148,4336737A.jpg,18054,N,9/22/2015,10:00 AM,766 Rand Road,"Owensboro, KY 42301",50655,00:00.0,7/28/2015,kimberly.williamson3@stl.usda.gov,"An open house will be held on Tuesday, September 22, 2015 from 9:00am to 10:00am.  The sale will take place immediately after the open house.  Estimated value of $72,000.  Property SOLD AS-IS.  USDA DOES NOT guarantee information, nor does it warranty the condition of the home.  For more information about United States Foreclosure Sales, contact USDA Rural Development at 1-800-349-5097 ext. 4500.",null,null,null,null,null,,Sewer,Community,3,1, ,30,2 car attached,x,Block,1114,766 Rand Road,Owensboro,42301,4336737,41,18,null,Ranch-Brick,5,Forced Air,Central Air,763,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
HEMPSTEAD,AR,53466,33641998A.jpg,4029,N,10/22/2015,10:00am,Front Door or Entrance of Hempstead Co. Courthouse,"Hope, AR 71801",27500,00:00.0,8/31/2015,mariann.richter@stl.usda.gov,"SALE LOCATION:  Front Door or Entrance of Hempstead Co. Courthouse, 400 South Washington Street, Hope AR 71801.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
****** Property Sold AS-IS.  Information provided is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to the best of our knowledge.  USDA DOES NOT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warranty or guarantee the property.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,null,null,null,null,null,,Sewer,Community,3,2,Slab,29,1 car carport,70x162,Poured,1084,519 S HERVEY ST,HOPE,71801,33641998,13,4,null,Ranch-Frame,6,Forced Air,Central Air,446,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,
GRUNDY,TN,53663,6884177A.jpg,43033,N,10/29/2015,10:00 AM,West door of Grundy County Courthouse,Altamont TN ,743,00:00.0,9/21/2015,pauline.moore@stl.usda.gov,10% of bid price is required as non-refundable deposit. PROPERTY SOLD AS-IS. RURAL DEVLOPMENT does not gurarantee nor does it warranty the condition of the property.,null,null,null,null,null,,Septic,Community,3,1,Crawlspace,31,1 car attached,x,Slab,1161,11634 Hwy 108,Altamont,37301,6884177,50,43,null,Ranch-Brick,6,Other,Other,320,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
FENTRESS,TN,53565,80975235A.jpg,Cookeville,N,10/21/2015,10:00 AM,Fentress County Courthouse,"Jamestown, TN",59281,00:00.0,9/10/2015,valerie.brown@stl.usda.gov,,null,null,null,null,null,,Septic,Well,3,2,Crawlspace,25,1 car attached,1.12 acre,Poured,1182,193 Hundred Oaks Loop,Jamestown,38556,80975235,14,43,null,Ranch-Frame,5,Forced Air,Central Air,429,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
MUSKINGUM,OH,53384,4088A.jpg,36084,N,9/24/2015,10:00 AM,MUSKINGUM COUNTY,ZANESVILLE OHIO,22667,00:00.0,8/21/2015,jana.odell@oh.usda.gov,,null,null,null,null,null,,Septic,Well,3,2,Full,60,1 car detached,1.93 AC,Block,1400,6090 LAMBERT RD,ROSEVILLE,43777,4088,35,36,null,2 Story-Frame,6,Other,N/A,0,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
BROWN,NE,53632,38195614A.jpg,28060,N,11/18/2015,1:00 PM,"West Door, Brown County Courthouse","Ainsworth, NE  69210",26004,00:00.0,9/21/2015,nesha.smith@stl.usda.gov,,null,null,null,null,null,Ainsworth,Sewer,Community,2,1.5,Partial,54,2 car detached,5600, ,1344,118 W. 5th Street,Ainsworth,69210,38195614,102,28,null, ,5,Forced Air,Central Air,1114,Direct,38195614,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
